Latitude,Longitude,Alt,Date,Time,Speed
43.772190,3.843337,0.00,2016/10/02,11:11:34,2.35
43.772151,3.843103,0.00,2016/10/02,11:12:05,3.19
43.772151,3.843103,0.00,2016/10/02,11:12:05,3.19
43.772132,3.842716,0.00,2016/10/02,11:12:36,2.26
43.772132,3.842716,0.00,2016/10/02,11:12:36,2.26
43.772274,3.842410,0.00,2016/10/02,11:13:07,2.30
43.772274,3.842410,0.00,2016/10/02,11:13:07,2.30
43.772399,3.842139,0.00,2016/10/02,11:13:38,2.39
43.772399,3.842139,0.00,2016/10/02,11:13:38,2.39
43.772495,3.841954,0.00,2016/10/02,11:14:09,0.15
43.772495,3.841954,0.00,2016/10/02,11:14:09,0.15
43.772499,3.841955,0.00,2016/10/02,11:14:40,0.24
43.772499,3.841955,0.00,2016/10/02,11:14:40,0.24
43.772491,3.841943,0.00,2016/10/02,11:15:11,0.33
43.772491,3.841943,0.00,2016/10/02,11:15:11,0.33
43.772602,3.841931,0.00,2016/10/02,11:15:42,2.37
43.772602,3.841931,0.00,2016/10/02,11:15:42,2.37
43.772827,3.841863,0.00,2016/10/02,11:16:13,2.20
43.772827,3.841863,0.00,2016/10/02,11:16:13,2.20
43.772857,3.841691,0.00,2016/10/02,11:16:44,4.83
43.772857,3.841691,0.00,2016/10/02,11:16:44,4.83
43.772960,3.841553,0.00,2016/10/02,11:17:15,2.07
43.772960,3.841553,0.00,2016/10/02,11:17:15,2.07
43.773155,3.841374,0.00,2016/10/02,11:17:46,1.57
43.773155,3.841374,0.00,2016/10/02,11:17:46,1.57
43.773204,3.841265,0.00,2016/10/02,11:18:17,0.09
43.773204,3.841265,0.00,2016/10/02,11:18:17,0.09
43.773242,3.841294,0.00,2016/10/02,11:18:48,0.33
43.773242,3.841294,0.00,2016/10/02,11:18:48,0.33
43.773288,3.841248,0.00,2016/10/02,11:19:19,0.13
43.773288,3.841248,0.00,2016/10/02,11:19:19,0.13
43.773269,3.841198,0.00,2016/10/02,11:19:50,0.44
43.773269,3.841198,0.00,2016/10/02,11:19:50,0.44
43.773262,3.841233,0.00,2016/10/02,11:20:21,0.33
43.773262,3.841233,0.00,2016/10/02,11:20:21,0.33
43.773242,3.841049,0.00,2016/10/02,11:20:52,2.59
43.773242,3.841049,0.00,2016/10/02,11:20:52,2.59
43.773292,3.840674,0.00,2016/10/02,11:21:23,4.00
43.773292,3.840674,0.00,2016/10/02,11:21:23,4.00
43.773361,3.840271,0.00,2016/10/02,11:21:54,3.70
43.773361,3.840271,0.00,2016/10/02,11:21:54,3.70
43.773448,3.839900,0.00,2016/10/02,11:22:25,2.32
43.773448,3.839900,0.00,2016/10/02,11:22:25,2.32
43.773551,3.839671,0.00,2016/10/02,11:22:56,1.70
43.773551,3.839671,0.00,2016/10/02,11:22:56,1.70
43.773746,3.839627,0.00,2016/10/02,11:23:27,2.19
43.773746,3.839627,0.00,2016/10/02,11:23:27,2.19
43.773876,3.839649,0.00,2016/10/02,11:23:58,1.20
43.773876,3.839649,0.00,2016/10/02,11:23:58,1.20
43.774055,3.839505,0.00,2016/10/02,11:24:29,1.46
43.774055,3.839505,0.00,2016/10/02,11:24:29,1.46
43.774200,3.839423,0.00,2016/10/02,11:25:00,2.20
43.774200,3.839423,0.00,2016/10/02,11:25:00,2.20
43.774333,3.839378,0.00,2016/10/02,11:25:31,0.61
43.774333,3.839378,0.00,2016/10/02,11:25:31,0.61
43.774444,3.839265,0.00,2016/10/02,11:26:02,0.50
43.774444,3.839265,0.00,2016/10/02,11:26:02,0.50
43.774566,3.839275,0.00,2016/10/02,11:26:33,0.28
43.774566,3.839275,0.00,2016/10/02,11:26:33,0.28
43.774631,3.839273,0.00,2016/10/02,11:27:04,1.56
43.774631,3.839273,0.00,2016/10/02,11:27:04,1.56
43.774810,3.839380,0.00,2016/10/02,11:27:35,0.44
43.774810,3.839380,0.00,2016/10/02,11:27:35,0.44
43.774898,3.839498,0.00,2016/10/02,11:28:06,0.69
43.774898,3.839498,0.00,2016/10/02,11:28:06,0.69
43.774971,3.839609,0.00,2016/10/02,11:28:37,0.17
43.774971,3.839609,0.00,2016/10/02,11:28:37,0.17
43.774978,3.839675,0.00,2016/10/02,11:29:08,0.17
43.774978,3.839675,0.00,2016/10/02,11:29:08,0.17
43.774986,3.839674,0.00,2016/10/02,11:29:39,0.26
43.774986,3.839674,0.00,2016/10/02,11:29:39,0.26
43.775009,3.839629,0.00,2016/10/02,11:30:10,0.04
43.775009,3.839629,0.00,2016/10/02,11:30:10,0.04
43.775047,3.839668,0.00,2016/10/02,11:30:41,0.89
43.775047,3.839668,0.00,2016/10/02,11:30:41,0.89
43.775066,3.839667,0.00,2016/10/02,11:31:12,1.06
43.775066,3.839667,0.00,2016/10/02,11:31:12,1.06
43.775085,3.839700,0.00,2016/10/02,11:31:43,2.30
43.775085,3.839700,0.00,2016/10/02,11:31:43,2.30
43.775257,3.839690,0.00,2016/10/02,11:32:14,1.83
43.775257,3.839690,0.00,2016/10/02,11:32:14,1.83
43.775108,3.839640,0.00,2016/10/02,11:32:45,0.76
43.775108,3.839640,0.00,2016/10/02,11:32:45,0.76
43.775070,3.839630,0.00,2016/10/02,11:33:16,0.65
43.775070,3.839630,0.00,2016/10/02,11:33:16,0.65
43.775047,3.839636,0.00,2016/10/02,11:33:47,1.43
43.775047,3.839636,0.00,2016/10/02,11:33:47,1.43
43.775085,3.839625,0.00,2016/10/02,11:34:18,1.17
